,,Underweight,,,,Healthy weight,,,,Overweight,,,,Obese,,,,Number of children measured,,Participation rate,,,,
E09000014,Haringey, 0.6 , 0.3 , 1.0 , 0.4 , 75.3 , 1.6 , 60.2 , 2.0 , 12.3 , 1.2 , 15.0 , 1.5 , 11.8 , 1.2 , 23.8 , 1.7 ,"2,806","2,285", 89.6 , 89.1 ,00AP,,
E09000015,Harrow, 4.6 , 0.8 , 3.3 , 0.8 , 74.0 , 1.7 , 60.9 , 2.1 , 12.1 , 1.3 , 15.5 , 1.6 , 9.3 , 1.2 , 20.3 , 1.7 ,"2,437","2,042", 90.9 , 85.7 ,00AQ,,
E09000016,Havering, 0.6 , 0.3 , 0.8 , 0.4 , 75.8 , 1.6 , 63.7 , 1.9 , 13.7 , 1.3 , 14.6 , 1.4 , 9.8 , 1.1 , 20.9 , 1.6 ,"2,691","2,425", 95.3 , 93.7 ,00AR,,
E09000017,Hillingdon, 2.2 , 0.5 , 2.2 , 0.5 , 76.8 , 1.4 , 62.5 , 1.8 , 11.4 , 1.0 , 14.6 , 1.3 , 9.5 , 1.0 , 20.7 , 1.5 ,"3,543","2,915", 96.1 , 95.8 ,00AS,,
E09000018,Hounslow, 1.7 , 0.5 , 1.7 , 0.5 , 75.7 , 1.5 , 59.4 , 2.0 , 10.7 , 1.1 , 15.6 , 1.5 , 11.9 , 1.2 , 23.3 , 1.7 ,"3,016","2,311", 99.1 , 98.7 ,00AT,,
E09000019,Islington, 1.0 , 0.5 , 1.3 , 0.6 , 75.3 , 2.0 , 60.6 , 2.4 , 13.7 , 1.6 , 16.1 , 1.8 , 10.0 , 1.4 , 22.1 , 2.0 ,"1,823","1,576", 91.5 , 92.1 ,00AU,,
E09000020,Kensington and Chelsea, 0.6 , 0.5 , 0.7 , 0.6 , 78.1 , 2.6 , 61.0 , 3.3 , 12.3 , 2.1 , 15.9 , 2.5 , 9.0 , 1.8 , 22.4 , 2.8 ,972,844, 97.8 , 96.0 ,00AW,,
E09000021,Kingston upon Thames, 1.3 , 0.5 , 1.6 , 0.6 , 82.3 , 1.8 , 71.0 , 2.4 , 10.5 , 1.4 , 12.2 , 1.7 , 5.9 , 1.1 , 15.3 , 1.9 ,"1,775","1,415", 99.1 , 99.0 ,00AX,,
E09000022,Lambeth, 1.6 , 0.5 , 1.1 , 0.4 , 75.7 , 1.5 , 60.1 , 2.0 , 11.9 , 1.2 , 14.8 , 1.4 , 10.7 , 1.1 , 24.0 , 1.7 ,"2,978","2,327", 98.0 , 96.4 ,00AY,,
E09000023,Lewisham, 0.6 , 0.3 , 0.6 , 0.3 , 74.6 , 1.5 , 59.0 , 2.0 , 13.4 , 1.2 , 15.3 , 1.4 , 11.4 , 1.1 , 25.0 , 1.7 ,"3,223","2,420", 92.5 , 93.4 ,00AZ,,
E09000024,Merton, 0.9 , 0.4 , 1.9 , 0.7 , 77.8 , 1.7 , 64.2 , 2.3 , 11.7 , 1.3 , 15.0 , 1.7 , 9.6 , 1.2 , 19.0 , 1.9 ,"2,354","1,685", 89.1 , 91.5 ,00BA,,
E09000025,Newham, 3.0 , 0.5 , 2.6 , 0.5 , 73.5 , 1.3 , 57.6 , 1.6 , 10.5 , 0.9 , 14.2 , 1.2 , 13.0 , 1.0 , 25.6 , 1.4 ,"4,396","3,490", 94.1 , 92.6 ,00BB,,
E09000026,Redbridge, 2.3 , 0.5 , 2.1 , 0.5 , 73.2 , 1.4 , 59.8 , 1.7 , 13.0 , 1.1 , 14.9 , 1.2 , 11.4 , 1.0 , 23.2 , 1.5 ,"3,745","3,234", 98.4 , 97.8 ,00BC,,
E09000027,Richmond upon Thames, 1.2 , 0.5 , 0.9 , 0.5 , 81.2 , 1.7 , 72.5 , 2.2 , 11.1 , 1.3 , 13.7 , 1.7 , 6.5 , 1.0 , 12.9 , 1.7 ,"2,150","1,553", 94.5 , 91.6 ,00BD,,
E09000028,Southwark, 1.2 , 0.4 , 0.9 , 0.4 , 73.0 , 1.7 , 56.4 , 2.0 , 13.8 , 1.3 , 14.3 , 1.4 , 12.1 , 1.2 , 28.5 , 1.8 ,"2,730","2,333", 84.2 , 85.3 ,00BE,,
E09000029,Sutton, 1.1 , 0.4 , 1.9 , 0.6 , 78.6 , 1.8 , 64.9 , 2.2 , 11.9 , 1.4 , 13.9 , 1.6 , 8.4 , 1.2 , 19.3 , 1.8 ,"2,056","1,801", 88.3 , 91.2 ,00BF,,
E09000030,Tower Hamlets, 1.7 , 0.5 , 2.0 , 0.6 , 74.4 , 1.6 , 57.7 , 1.9 , 10.8 , 1.2 , 15.1 , 1.4 , 13.1 , 1.3 , 25.1 , 1.7 ,"2,774","2,506", 91.9 , 90.4 ,00BG,,
E09000031,Waltham Forest, 1.5 , 0.4 , 1.8 , 0.5 , 76.8 , 1.5 , 60.0 , 1.9 , 12.1 , 1.1 , 14.6 , 1.4 , 9.6 , 1.0 , 23.5 , 1.7 ,"3,216","2,451", 93.6 , 90.1 ,00BH,,
E09000032,Wandsworth, 1.5 , 0.5 , 1.9 , 0.6 , 75.9 , 1.6 , 62.8 , 2.2 , 12.3 , 1.3 , 15.3 , 1.6 , 10.3 , 1.2 , 20.0 , 1.8 ,"2,614","1,931", 94.4 , 90.9 ,00BJ,,
E09000033,Westminster, 1.2 , 0.6 , 1.0 , 0.6 , 75.3 , 2.3 , 58.7 , 2.7 , 12.2 , 1.7 , 15.5 , 2.0 , 11.3 , 1.7 , 24.8 , 2.4 ,"1,393","1,258", 93.2 , 90.8 ,00BK,,
,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East, 0.5 , 0.1 , 0.7 , 0.1 , 74.9 , 0.5 , 62.3 , 0.6 , 13.7 , 0.4 , 14.9 , 0.4 , 10.8 , 0.4 , 22.1 , 0.5 ,"27,689","24,842", 97.9 , 97.0 ,A,,
E12000002,North West, 0.9 , 0.1 , 1.3 , 0.1 , 75.9 , 0.3 , 64.0 , 0.4 , 13.4 , 0.2 , 14.9 , 0.3 , 9.7 , 0.2 , 19.8 , 0.3 ,"77,432","68,180", 94.4 , 92.4 ,B,,
E12000003,Yorkshire and The Humber, 0.9 , 0.1 , 1.3 , 0.1 , 77.0 , 0.3 , 65.0 , 0.4 , 13.1 , 0.3 , 14.4 , 0.3 , 9.1 , 0.2 , 19.2 , 0.3 ,"58,882","51,000", 95.5 , 92.7 ,D,,
E12000004,East Midlands, 0.9 , 0.1 , 1.3 , 0.1 , 76.7 , 0.4 , 65.5 , 0.5 , 13.4 , 0.3 , 14.8 , 0.3 , 9.0 , 0.3 , 18.3 , 0.4 ,"46,787","42,432", 93.1 , 93.1 ,E,,
E12000005,West Midlands, 1.1 , 0.1 , 1.4 , 0.1 , 75.4 , 0.3 , 62.3 , 0.4 , 13.0 , 0.3 , 15.0 , 0.3 , 10.5 , 0.2 , 21.2 , 0.3 ,"62,582","55,509", 95.0 , 93.2 ,F,,
E12000006,East, 0.8 , 0.1 , 1.2 , 0.1 , 77.4 , 0.3 , 67.2 , 0.4 , 13.2 , 0.3 , 14.4 , 0.3 , 8.6 , 0.2 , 17.2 , 0.3 ,"63,458","54,854", 95.6 , 92.6 ,G,,
E12000007,London, 1.4 , 0.1 , 1.6 , 0.1 , 75.2 , 0.3 , 60.9 , 0.4 , 12.4 , 0.2 , 15.0 , 0.3 , 11.0 , 0.2 , 22.5 , 0.3 ,"89,780","73,099", 93.9 , 92.7 ,H,,
E12000008,South East, 0.8 , 0.1 , 1.1 , 0.1 , 78.5 , 0.3 , 68.1 , 0.3 , 12.5 , 0.2 , 14.3 , 0.2 , 8.3 , 0.2 , 16.5 , 0.3 ,"88,053","76,581", 92.6 , 91.1 ,J,,
E12000009,South West, 0.5 , 0.1 , 0.9 , 0.1 , 76.8 , 0.4 , 68.1 , 0.4 , 14.0 , 0.3 , 14.4 , 0.3 , 8.7 , 0.2 , 16.6 , 0.3 ,"50,999","44,621", 92.5 , 89.1 ,K,,
,,,,,,,,,,,,,,,,,,,,,,,,
ENG,England, 0.9 , 0.0 , 1.3 , 0.0 , 76.5 , 0.1 , 64.9 , 0.1 , 13.1 , 0.1 , 14.7 , 0.1 , 9.5 , 0.1 , 19.2 , 0.1 ,"565,662","491,118", 94.2 , 92.4 ,64,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
