,,Underweight,,,,Healthy weight,,,,Overweight,,,,Obese,,,,Number of children measured,,Participation rate,,,,
,,Reception,,Year 6,,Reception,,Year 6,,Reception,,Year 6,,Reception,,Year 6,,,,,,,,
ONS Code,Area,Prevalence (%),95% confidence interval ¡À,Prevalence (%),95% confidence interval ¡À,Prevalence (%),95% confidence interval ¡À,Prevalence (%),95% confidence interval ¡À,Prevalence (%),95% confidence interval ¡À,Prevalence (%),95% confidence interval ¡À,Prevalence (%),95% confidence interval ¡À,Prevalence (%),95% confidence interval ¡À,Reception,Year 6,Reception,Year 6,Old District Code ,,
,,,,,,,,,,,,,,,,,,,,,,,,
E09000002,Barking and Dagenham, 1.1 , 0.4 , 1.6 , 0.5 , 72.2 , 1.6 , 56.2 , 2.1 , 12.9 , 1.2 , 15.3 , 1.5 , 13.7 , 1.2 , 26.9 , 1.9 ,"3,143","2,188", 95.4 , 93.4 ,00AB,,
E09000003,Barnet, 0.9 , 0.3 , 1.7 , 0.5 , 78.1 , 1.4 , 64.3 , 1.8 , 11.4 , 1.1 , 14.8 , 1.3 , 9.7 , 1.0 , 19.2 , 1.5 ,"3,273","2,670", 88.9 , 83.0 ,00AC,,
E09000004,Bexley, 0.7 , 0.3 , 1.4 , 0.5 , 74.3 , 1.6 , 61.1 , 1.9 , 14.3 , 1.3 , 15.3 , 1.4 , 10.7 , 1.1 , 22.2 , 1.6 ,"2,963","2,452", 94.2 , 89.7 ,00AD,,
E09000005,Brent, 2.1 , 0.5 , 2.2 , 0.5 , 75.3 , 1.4 , 60.6 , 1.8 , 10.9 , 1.0 , 14.7 , 1.3 , 11.7 , 1.1 , 22.6 , 1.5 ,"3,525","2,934", 96.9 , 98.0 ,00AE,,
E09000006,Bromley, 0.9 , 0.3 , 0.8 , 0.3 , 78.8 , 1.4 , 67.9 , 1.7 , 12.9 , 1.1 , 15.7 , 1.3 , 7.4 , 0.9 , 15.6 , 1.3 ,"3,346","2,879", 93.7 , 92.0 ,00AF,,
E09000007,Camden, 1.5 , 0.6 , 1.7 , 0.7 , 74.3 , 2.3 , 61.5 , 2.6 , 13.8 , 1.8 , 14.4 , 1.9 , 10.4 , 1.6 , 22.3 , 2.2 ,"1,442","1,336", 93.4 , 92.8 ,00AG,,
E09000008,Croydon, 0.8 , 0.3 , 1.0 , 0.3 , 75.0 , 1.3 , 60.8 , 1.6 , 12.4 , 1.0 , 15.4 , 1.2 , 11.8 , 1.0 , 22.9 , 1.4 ,"4,191","3,488", 92.3 , 92.3 ,00AH,,
E09000009,Ealing, 1.5 , 0.4 , 2.2 , 0.5 , 74.9 , 1.3 , 61.1 , 1.7 , 11.0 , 1.0 , 14.6 , 1.2 , 12.6 , 1.0 , 22.2 , 1.4 ,"4,018","3,202", 97.3 , 96.4 ,00AJ,,
E09000010,Enfield, 1.0 , 0.3 , 1.3 , 0.4 , 72.2 , 1.4 , 59.0 , 1.6 , 13.7 , 1.1 , 15.9 , 1.2 , 13.1 , 1.0 , 23.8 , 1.4 ,"4,056","3,444", 92.1 , 92.6 ,00AK,,
E09000011,Greenwich, 0.8 , 0.3 , 1.4 , 0.5 , 71.4 , 1.6 , 57.3 , 2.0 , 15.2 , 1.2 , 16.4 , 1.5 , 12.6 , 1.1 , 24.9 , 1.7 ,"3,249","2,411", 96.4 , 95.6 ,00AL,,
E09000012,Hackney1, 1.1 , 0.4 , 1.6 , 0.5 , 71.6 , 1.8 , 55.6 , 2.1 , 13.9 , 1.4 , 15.6 , 1.5 , 13.4 , 1.3 , 27.1 , 1.9 ,"2,496","2,170", 98.3 , 97.9 ,00AM1,,
E09000013,Hammersmith and Fulham, 0.7 , 0.4 , 1.2 , 0.6 , 74.6 , 2.3 , 58.6 , 2.9 , 14.6 , 1.9 , 14.4 , 2.1 , 10.0 , 1.6 , 25.8 , 2.6 ,"1,386","1,123", 97.6 , 97.7 ,00AN,,
