,,Underweight,,,,,,Healthy weight,,,,,,Overweight,,,,,,Obese,,,,,,Number of children measured,,Participation rate,
,,Reception,,,Year 6,,,Reception,,,Year 6,,,Reception,,,Year 6,,,Reception,,,Year 6,,,,,,
ONS Code,Area,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Reception,Year 6,Reception,Year 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000024,Merton,1.6,1.1,2.2,1.9,1.4,2.6,79.7,78.0,81.2,63.7,61.6,65.8,11.3,10.1,12.7,15.1,13.6,16.8,7.5,6.5,8.6,19.2,17.5,21.0," 2,305 "," 1,962 ",94.2,95.7
E09000025,Newham,2.2,1.8,2.7,2.3,1.9,2.8,72.9,71.6,74.2,54.4,52.9,55.9,12.4,11.4,13.4,15.7,14.6,16.8,12.5,11.6,13.5,27.6,26.3,29.0," 4,521 "," 4,176 ",88.4,90.8
E09000026,Redbridge,2.5,2.1,3.0,2.6,2.1,3.2,78.9,77.6,80.1,58.2,56.6,59.8,8.9,8.1,9.9,15.9,14.8,17.1,9.7,8.8,10.7,23.3,21.9,24.7," 3,873 "," 3,619 ",97.1,98.4
E09000027,Richmond upon Thames,1.3,0.9,1.8,1.3,0.9,1.9,82.1,80.5,83.5,73.9,71.9,75.8,11.4,10.2,12.7,12.3,10.8,13.8,5.3,4.5,6.2,12.6,11.1,14.2," 2,425 "," 1,877 ",95.3,95.0
E09000028,Southwark,1.1,0.8,1.5,0.9,0.6,1.3,73.5,72.0,75.0,56.4,54.6,58.1,13.3,12.2,14.5,15.1,13.9,16.5,12.1,11.0,13.2,27.6,26.0,29.2," 3,345 "," 2,933 ",95.8,96.4
E09000029,Sutton,1.2,0.8,1.7,0.9,0.6,1.4,80.4,78.7,81.9,67.0,64.8,69.1,11.2,10.0,12.5,13.7,12.3,15.4,7.3,6.3,8.4,18.4,16.7,20.2," 2,280 "," 1,877 ",92.0,94.7
E09000030,Tower Hamlets,2.3,1.8,2.8,2.3,1.8,2.9,75.7,74.2,77.1,56.8,54.9,58.6,10.5,9.5,11.6,13.8,12.6,15.2,11.6,10.5,12.7,27.1,25.5,28.8," 3,210 "," 2,852 ",95.8,93.6
E09000031,Waltham Forest,1.0,0.7,1.4,1.7,1.2,2.2,75.2,73.8,76.6,58.4,56.5,60.2,13.1,12.0,14.3,13.7,12.5,15.0,10.6,9.6,11.7,26.3,24.7,28.0," 3,475 "," 2,784 ",95.5,95.6
E09000032,Wandsworth,1.2,0.9,1.7,1.7,1.2,2.4,79.9,78.4,81.4,64.4,62.2,66.4,11.2,10.1,12.4,14.6,13.1,16.2,7.6,6.7,8.7,19.3,17.7,21.1," 2,722 "," 2,006 ",87.7,88.1
E09000033,Westminster,1.9,1.3,2.7,2.3,1.6,3.3,74.9,72.6,77.1,58.3,55.6,60.9,12.3,10.7,14.2,14.5,12.7,16.5,10.8,9.3,12.6,24.9,22.7,27.4," 1,401 "," 1,299 ",94.9,87.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
