,,Underweight,,,,,,Healthy weight,,,,,,Overweight,,,,,,Obese (inclduing serverely obese),,,,,,Serverely obese,,,,,,Number of children measured,
,,Reception,,,Year 6,,,Reception,,,Year 6,,,Reception,,,Year 6,,,Reception,,,Year 6,,,Reception,,,Year 6,,,,
ONS Code,Area,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Reception,Year 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000021,Kingston upon Thames,2.0,1.4,2.7,2.9,2.2,3.8,84.1,82.4,85.7,71.2,69.0,73.2,9.0,7.8,10.4,11.2,9.8,12.7,4.9,4.0,6.0,14.8,13.2,16.5,1.0,0.7,1.6,2.8,2.1,3.6," 1,919 "," 1,775 "
E09000022,Lambeth,1.7,1.3,2.3,1.2,0.9,1.7,75.5,73.9,77.0,60.2,58.4,62.0,12.6,11.5,13.9,14.2,13.0,15.6,10.1,9.1,11.3,24.4,22.8,26.0,3.0,2.5,3.7,6.5,5.7,7.5," 2,987 "," 2,841 "
E09000023,Lewisham,3.1,2.6,3.7,1.6,1.2,2.1,80.3,78.9,81.6,60.7,59.0,62.4,9.2,8.2,10.2,13.5,12.3,14.7,7.4,6.6,8.4,24.3,22.8,25.8,1.9,1.5,2.4,6.1,5.3,7.0," 3,327 "," 3,127 "
E09000024,Merton,1.3,0.9,1.9,1.9,1.4,2.5,79.6,77.9,81.2,62.3,60.3,64.2,10.8,9.6,12.1,14.1,12.7,15.6,8.3,7.3,9.5,21.7,20.1,23.5,2.1,1.6,2.8,4.6,3.8,5.5," 2,340 "," 2,277 "
E09000025,Newham,2.2,1.8,2.7,2.4,2.0,2.9,75.1,73.9,76.3,54.0,52.6,55.5,9.9,9.0,10.8,16.1,15.1,17.2,12.8,11.9,13.8,27.4,26.1,28.7,4.6,4.0,5.2,6.5,5.8,7.2," 4,638 "," 4,521 "
E09000026,Redbridge,2.5,2.0,3.0,2.4,1.9,2.9,76.0,74.7,77.3,57.3,55.7,58.9,10.3,9.4,11.3,15.0,13.9,16.2,11.2,10.3,12.2,25.3,23.9,26.7,3.6,3.0,4.2,5.0,4.4,5.8," 4,049 "," 3,863 "
E09000027,Richmond upon Thames,1.1,0.7,1.5,1.0,0.7,1.6,82.8,81.2,84.2,75.8,73.9,77.6,10.6,9.5,11.9,10.9,9.6,12.3,5.5,4.7,6.5,12.3,10.9,13.8,1.2,0.8,1.7,1.5,1.1,2.1," 2,380 "," 2,055 "
E09000028,Southwark,0.8,0.5,1.2,1.5,1.1,2.0,73.2,71.7,74.8,58.3,56.5,60.0,14.5,13.3,15.7,15.6,14.4,17.0,11.5,10.4,12.7,24.6,23.1,26.2,3.8,3.2,4.6,6.3,5.5,7.3," 3,125 "," 2,972 "
E09000029,Sutton,1.1,0.7,1.6,1.6,1.2,2.3,80.9,79.2,82.4,65.0,63.0,67.0,10.7,9.5,12.0,14.2,12.8,15.7,7.3,6.3,8.5,19.1,17.5,20.8,2.0,1.5,2.7,3.1,2.5,3.9," 2,292 "," 2,187 "
E09000030,Tower Hamlets,2.1,1.6,2.6,2.4,1.9,3.0,77.1,75.7,78.6,56.0,54.2,57.7,10.3,9.3,11.3,14.9,13.7,16.2,10.5,9.5,11.6,26.7,25.2,28.3,3.3,2.8,4.0,5.4,4.6,6.2," 3,238 "," 3,075 "
