,,Underweight,,,,,,Healthy weight,,,,,,Overweight,,,,,,Obese,,,,,,Number of children measured,,Participation rate,
E09000014,Haringey,0.9,0.6,1.3,1.6,1.1,2.1,78.9,77.4,80.3,60.5,58.5,62.3,10.6,9.5,11.8,15.2,13.8,16.6,9.7,8.6,10.8,22.8,21.3,24.5," 2,911 "," 2,574 ",90.9,90.7
E09000015,Harrow,2.3,1.8,3.0,2.2,1.7,2.9,77.3,75.7,78.8,61.1,59.1,63.1,11.0,9.9,12.3,15.9,14.5,17.4,9.3,8.3,10.5,20.8,19.2,22.5," 2,736 "," 2,284 ",90.3,90.3
E09000016,Havering,0.4,0.2,0.8,0.8,0.5,1.3,73.7,72.1,75.3,63.8,61.8,65.7,14.0,12.8,15.4,14.8,13.4,16.3,11.8,10.6,13.1,20.6,19.1,22.3," 2,764 "," 2,440 ",91.6,93.9
E09000017,Hillingdon,2.3,1.9,2.9,2.6,2.1,3.3,76.1,74.7,77.4,62.7,61.0,64.4,11.5,10.6,12.5,14.8,13.6,16.1,10.1,9.2,11.0,19.8,18.5,21.3," 4,057 "," 3,151 ",98.8,98.0
E09000018,Hounslow,2.8,2.3,3.5,2.2,1.7,2.8,76.5,75.0,77.9,58.8,56.8,60.7,10.6,9.5,11.7,15.1,13.8,16.6,10.1,9.1,11.2,23.9,22.2,25.7," 3,131 "," 2,405 ",99.1,99.1
E09000019,Islington,0.8,0.5,1.4,1.0,0.6,1.7,75.9,73.9,77.8,60.9,58.4,63.3,12.5,11.1,14.1,16.6,14.9,18.6,10.8,9.4,12.2,21.4,19.5,23.6," 1,897 "," 1,562 ",92.9,93.7
E09000020,Kensington and Chelsea,0.6,0.3,1.4,0.8,0.4,1.6,76.3,73.5,79.0,63.2,59.9,66.3,13.4,11.4,15.8,14.8,12.6,17.3,9.6,7.8,11.6,21.3,18.7,24.1, 930 , 880 ,93.6,95.8
E09000021,Kingston upon Thames,1.2,0.8,1.8,2.3,1.6,3.2,81.6,79.8,83.3,69.2,66.8,71.6,11.2,9.8,12.7,13.2,11.5,15.0,6.0,5.0,7.1,15.4,13.6,17.3," 1,896 "," 1,419 ",99.2,99.0
E09000022,Lambeth,1.0,0.7,1.4,0.8,0.5,1.2,74.3,72.6,75.8,58.1,56.1,60.1,12.5,11.3,13.8,16.1,14.7,17.6,12.3,11.1,13.5,25.1,23.4,26.8," 2,781 "," 2,379 ",98.2,92.5
E09000023,Lewisham,1.1,0.8,1.5,1.0,0.7,1.5,74.2,72.8,75.7,59.7,57.8,61.5,13.8,12.7,15.0,15.0,13.7,16.4,10.8,9.8,11.9,24.3,22.7,26.0," 3,487 "," 2,672 ",95.5,93.1
E09000024,Merton,1.4,1.0,1.9,1.6,1.1,2.3,77.7,76.0,79.4,62.1,59.8,64.3,11.8,10.6,13.2,16.1,14.4,17.8,9.1,8.0,10.3,20.3,18.5,22.2," 2,328 "," 1,780 ",94.7,97.1
E09000025,Newham,3.0,2.5,3.5,2.9,2.4,3.4,74.0,72.6,75.2,57.2,55.6,58.8,10.6,9.8,11.6,14.8,13.7,16.0,12.4,11.5,13.5,25.1,23.8,26.5," 4,339 "," 3,776 ",90.1,91.2
E09000026,Redbridge,2.4,2.0,2.9,2.3,1.8,2.8,77.8,76.5,79.1,60.1,58.5,61.7,9.3,8.4,10.2,14.9,13.8,16.2,10.5,9.6,11.5,22.7,21.3,24.1," 3,895 "," 3,572 ",99.3,98.8
E09000027,Richmond upon Thames,0.4,0.2,0.8,1.2,0.8,1.8,81.5,79.8,83.0,74.5,72.3,76.5,12.1,10.8,13.5,13.3,11.8,15.0,6.0,5.1,7.1,11.1,9.7,12.6," 2,279 "," 1,691 ",94.0,92.0
E09000028,Southwark,1.1,0.8,1.5,1.2,0.8,1.6,70.9,69.3,72.5,55.0,53.1,56.9,15.0,13.7,16.3,17.2,15.8,18.7,13.1,11.9,14.3,26.7,25.0,28.4," 3,109 "," 2,594 ",94.0,91.1
E09000029,Sutton,1.5,1.1,2.0,1.9,1.3,2.6,79.3,77.6,80.9,64.6,62.4,66.7,11.9,10.6,13.2,15.9,14.3,17.6,7.4,6.4,8.5,17.7,16.0,19.4," 2,320 "," 1,934 ",91.9,95.2
E09000030,Tower Hamlets,2.2,1.7,2.7,1.8,1.4,2.4,74.1,72.6,75.6,55.9,54.0,57.7,11.5,10.4,12.6,17.2,15.8,18.6,12.2,11.2,13.4,25.1,23.5,26.8," 3,168 "," 2,733 ",94.3,90.4
E09000031,Waltham Forest,1.4,1.1,1.9,2.7,2.1,3.3,75.8,74.3,77.2,59.5,57.7,61.3,11.5,10.5,12.6,14.4,13.2,15.8,11.3,10.3,12.4,23.4,21.9,25.0," 3,487 "," 2,818 ",96.7,95.5
E09000032,Wandsworth,1.5,1.1,2.0,1.5,1.0,2.1,78.7,77.1,80.3,64.0,61.8,66.1,12.1,10.9,13.5,14.3,12.8,15.9,7.7,6.7,8.7,20.3,18.6,22.1," 2,585 "," 1,982 ",92.8,90.6
E09000033,Westminster,1.0,0.6,1.6,0.9,0.5,1.6,75.9,73.7,78.0,59.0,56.4,61.7,12.5,10.9,14.2,14.4,12.6,16.4,10.7,9.2,12.3,25.6,23.4,28.1," 1,502 "," 1,326 ",91.5,91.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,0.7,0.6,0.8,0.9,0.8,1.1,74.9,74.4,75.4,63.0,62.4,63.6,14.0,13.6,14.4,14.9,14.5,15.4,10.4,10.0,10.7,21.1,20.6,21.6," 28,520 "," 25,457 ",97.9,97.3
E12000002,North West,0.9,0.8,0.9,1.3,1.2,1.4,75.6,75.3,75.8,64.3,64.0,64.7,13.7,13.4,13.9,14.6,14.3,14.8,9.9,9.7,10.1,19.8,19.5,20.1," 81,106 "," 70,918 ",95.8,94.7
E12000003,Yorkshire and The Humber,0.9,0.9,1.0,1.4,1.3,1.5,76.8,76.5,77.2,65.2,64.8,65.6,13.0,12.8,13.3,14.2,13.9,14.5,9.2,9.0,9.4,19.2,18.9,19.6," 60,258 "," 52,633 ",94.5,93.4
E12000004,East Midlands,1.0,0.9,1.1,1.5,1.3,1.6,77.3,76.9,77.6,66.3,65.9,66.8,12.8,12.5,13.1,14.1,13.8,14.5,8.9,8.7,9.2,18.1,17.7,18.4," 49,945 "," 44,189 ",92.9,92.0
E12000005,West Midlands,1.2,1.1,1.3,1.5,1.5,1.7,75.4,75.0,75.7,62.7,62.3,63.1,13.0,12.7,13.2,14.8,14.5,15.1,10.5,10.2,10.7,21.0,20.7,21.3," 65,371 "," 58,176 ",95.3,95.0
E12000006,East,0.8,0.7,0.8,1.4,1.3,1.5,77.7,77.4,78.0,67.6,67.2,67.9,13.0,12.8,13.3,13.9,13.6,14.2,8.5,8.3,8.7,17.2,16.9,17.5," 67,052 "," 56,909 ",95.5,93.4
E12000007,London,1.5,1.4,1.6,1.7,1.6,1.8,75.4,75.1,75.7,60.7,60.4,61.1,12.3,12.1,12.5,15.2,14.9,15.4,10.8,10.6,11.0,22.4,22.1,22.7," 94,681 "," 78,642 ",94.8,94.3
E12000008,South East,0.7,0.7,0.8,1.2,1.2,1.3,78.8,78.5,79.1,68.4,68.1,68.7,12.5,12.3,12.7,13.9,13.7,14.2,8.0,7.8,8.1,16.4,16.2,16.7," 86,333 "," 79,930 ",87.2,92.5
E12000009,South West,0.6,0.5,0.6,1.0,0.9,1.1,75.9,75.6,76.3,68.0,67.6,68.4,14.3,14.0,14.6,14.4,14.0,14.7,9.2,9.0,9.5,16.7,16.3,17.0," 54,070 "," 47,421 ",94.8,91.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG,England,0.9,0.9,1.0,1.4,1.3,1.4,76.5,76.4,76.6,65.1,65.0,65.2,13.1,13.0,13.1,14.4,14.3,14.5,9.5,9.4,9.6,19.1,19.0,19.2,"587,336","514,275",93.8,93.6
