,,Underweight,,,,,,Healthy weight,,,,,,Overweight,,,,,,Obese,,,,,,Number of children measured,,Participation rate,
,,Reception,,,Year 6,,,Reception,,,Year 6,,,Reception,,,Year 6,,,Reception,,,Year 6,,,,,,
ONS Code,Area,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Reception,Year 6,Reception,Year 6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000002,Barking and Dagenham,1.0,0.7,1.4,1.6,1.2,2.2,72.2,70.6,73.7,56.2,54.2,58.2,12.7,11.6,13.8,15.9,14.6,17.4,14.2,13.0,15.4,26.2,24.5,28.0," 3,270 "," 2,471 ",93.7,93.3
E09000003,Barnet,1.4,1.0,1.8,1.7,1.3,2.2,77.7,76.3,79.0,63.9,62.3,65.6,11.5,10.6,12.6,15.0,13.7,16.2,9.4,8.5,10.4,19.4,18.1,20.8," 3,736 "," 3,137 ",92.5,92.6
E09000004,Bexley,0.5,0.3,0.8,0.9,0.6,1.3,72.1,70.5,73.7,61.0,59.1,62.9,16.3,15.0,17.6,15.6,14.2,17.0,11.1,10.1,12.3,22.5,20.9,24.2," 3,044 "," 2,557 ",98.5,93.6
E09000005,Brent,2.2,1.7,2.7,2.4,1.9,3.0,71.0,69.5,72.5,57.1,55.4,58.8,13.0,12.0,14.1,16.1,14.9,17.4,13.8,12.7,14.9,24.4,23.0,25.9," 3,656 "," 3,318 ",97.3,98.7
E09000006,Bromley,0.7,0.5,1.0,1.4,1.1,1.9,78.0,76.6,79.3,68.7,67.0,70.3,13.0,11.9,14.1,14.5,13.3,15.8,8.3,7.5,9.3,15.4,14.1,16.7," 3,657 "," 3,118 ",96.2,93.7
E09000007,Camden,1.4,0.9,2.1,2.1,1.5,3.0,76.4,74.2,78.4,63.6,61.0,66.1,12.2,10.7,14.0,13.3,11.6,15.2,10.0,8.6,11.6,21.0,18.9,23.2," 1,544 "," 1,390 ",96.0,95.6
E09000008,Croydon,1.2,1.0,1.6,1.1,0.8,1.5,75.7,74.4,76.9,60.6,59.0,62.2,12.2,11.3,13.2,15.5,14.4,16.7,10.9,10.0,11.8,22.8,21.5,24.2," 4,450 "," 3,668 ",94.7,95.4
E09000009,Ealing,1.9,1.5,2.4,2.2,1.7,2.7,75.7,74.4,77.0,59.5,57.9,61.1,11.6,10.7,12.6,15.3,14.1,16.5,10.8,9.9,11.8,23.0,21.7,24.4," 4,309 "," 3,533 ",97.5,97.5
E09000010,Enfield,1.3,1.0,1.7,1.3,0.9,1.7,72.2,70.8,73.6,59.3,57.7,60.9,14.3,13.2,15.4,14.8,13.7,16.0,12.2,11.2,13.3,24.6,23.3,26.1," 4,020 "," 3,572 ",88.7,90.9
E09000011,Greenwich,1.1,0.8,1.5,1.1,0.8,1.6,70.4,68.8,71.9,58.5,56.6,60.4,15.0,13.8,16.2,15.0,13.6,16.4,13.6,12.5,14.8,25.4,23.8,27.1," 3,380 "," 2,601 ",98.1,97.7
E09000012,Hackney1,1.3,1.0,1.9,1.5,1.0,2.1,71.5,69.7,73.2,58.2,56.1,60.2,12.8,11.6,14.1,14.3,12.9,15.8,14.4,13.1,15.8,26.1,24.3,28.0," 2,608 "," 2,178 ",97.8,96.9
E09000013,Hammersmith and Fulham,0.9,0.5,1.5,0.8,0.4,1.5,78.9,76.6,80.9,61.6,58.7,64.4,11.4,9.8,13.2,15.2,13.2,17.4,8.9,7.5,10.5,22.4,20.1,25.0," 1,405 "," 1,127 ",90.6,94.3
