,,Underweight,,,,,,Healthy weight,,,,,,Overweight,,,,,,Obese,,,,,,Number of children measured,,Participation rate,,,
,,Reception,,,Year 6,,,Reception,,,Year 6,,,Reception,,,Year 6,,,Reception,,,Year 6,,,,,,,,
ONS Code,Area,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Prevalence (%),lower confidence interval,upper confidence interval,Reception,Year 6,Reception,Year 6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000023,Lewisham,0.9,0.7,1.3,1.1,0.8,1.6,75.4,73.9,76.8,60.0,58.1,61.7,12.7,11.7,13.9,14.7,13.4,16.0,11.0,10.0,12.0,24.2,22.7,25.8," 3,615 "," 2,857 ",0.9,0.9,,
E09000024,Merton,1.7,1.3,2.3,2.0,1.5,2.8,79.4,77.8,81.0,62.2,60.0,64.4,11.1,9.9,12.4,14.1,12.6,15.7,7.7,6.7,8.9,21.6,19.9,23.5," 2,359 "," 1,917 ",0.9,1.0,,
E09000025,Newham,2.0,1.6,2.4,1.9,1.6,2.4,72.4,71.1,73.7,55.2,53.6,56.8,11.8,10.9,12.8,15.5,14.4,16.6,13.8,12.8,14.8,27.4,26.0,28.8," 4,576 "," 3,916 ",0.9,0.9,,
E09000026,Redbridge,2.4,2.0,2.9,2.3,1.8,2.8,76.9,75.6,78.2,59.4,57.8,61.0,9.9,9.0,10.9,15.5,14.3,16.7,10.7,9.8,11.7,22.9,21.5,24.3," 4,007 "," 3,616 ",1.0,1.0,,
E09000027,Richmond upon Thames,1.2,0.8,1.7,1.5,1.0,2.2,83.0,81.4,84.4,76.2,74.1,78.2,11.3,10.1,12.6,11.1,9.7,12.7,4.6,3.8,5.5,11.2,9.8,12.8," 2,352 "," 1,660 ",0.9,0.9,,
E09000028,Southwark,1.6,1.2,2.1,1.0,0.7,1.5,72.0,70.4,73.5,55.4,53.4,57.3,13.4,12.3,14.6,15.7,14.3,17.1,13.0,11.9,14.3,28.0,26.3,29.7," 3,161 "," 2,612 ",0.9,0.9,,
E09000029,Sutton,1.0,0.6,1.5,1.3,0.9,1.9,83.1,81.5,84.6,68.8,66.6,70.8,9.6,8.5,10.9,12.6,11.1,14.1,6.3,5.3,7.3,17.4,15.7,19.1," 2,249 "," 1,895 ",0.9,0.9,,
E09000030,Tower Hamlets,2.1,1.6,2.6,2.3,1.8,2.9,75.5,74.0,77.0,56.0,54.2,57.8,10.5,9.5,11.6,15.1,13.8,16.4,11.9,10.8,13.1,26.7,25.1,28.3," 3,237 "," 2,880 ",1.0,0.9,,
E09000031,Waltham Forest,1.9,1.5,2.4,2.4,1.9,3.0,75.1,73.6,76.6,61.8,60.0,63.6,11.7,10.6,12.8,14.2,12.9,15.5,11.3,10.2,12.4,21.7,20.2,23.3," 3,329 "," 2,705 ",0.9,0.9,,
E09000032,Wandsworth,1.4,1.0,1.9,1.9,1.4,2.5,78.5,76.9,79.9,64.5,62.4,66.5,12.0,10.8,13.2,13.0,11.6,14.5,8.2,7.2,9.2,20.7,19.0,22.4," 2,817 "," 2,091 ",0.9,0.9,,
E09000033,Westminster,1.0,0.6,1.6,1.3,0.8,2.1,77.4,75.1,79.6,59.4,56.4,62.2,12.1,10.5,13.9,14.9,12.9,17.1,9.5,8.1,11.2,24.5,22.0,27.1," 1,364 "," 1,100 ",1.0,0.9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,0.6,0.5,0.7,1.2,1.0,1.3,75.7,75.2,76.2,62.9,62.3,63.5,13.7,13.3,14.1,14.5,14.0,14.9,10.0,9.7,10.4,21.5,21.0,22.0," 29,343 "," 26,199 ",1.0,1.0,,
E12000002,North West,0.9,0.8,1.0,1.3,1.3,1.4,76.2,75.9,76.5,64.8,64.5,65.2,13.3,13.1,13.6,14.5,14.2,14.7,9.6,9.4,9.8,19.4,19.1,19.7," 82,598 "," 73,686 ",1.0,0.9,,
E12000003,Yorkshire and The Humber,0.9,0.8,1.0,1.4,1.3,1.5,77.5,77.2,77.9,65.3,64.9,65.7,12.7,12.5,13.0,14.1,13.8,14.4,8.8,8.6,9.1,19.2,18.9,19.5," 61,180 "," 54,169 ",0.9,0.9,,
E12000004,East Midlands,0.9,0.8,1.0,1.6,1.5,1.7,77.4,77.0,77.8,66.1,65.7,66.5,13.1,12.8,13.4,13.8,13.5,14.2,8.6,8.3,8.8,18.5,18.1,18.9," 51,526 "," 45,285 ",0.9,0.9,,
E12000005,West Midlands,1.1,1.1,1.2,1.5,1.4,1.6,75.8,75.5,76.1,62.7,62.3,63.1,12.9,12.6,13.1,14.6,14.4,14.9,10.2,10.0,10.4,21.2,20.8,21.5," 66,952 "," 60,401 ",1.0,1.0,,
E12000006,East,0.8,0.8,0.9,1.4,1.3,1.5,78.5,78.2,78.8,68.0,67.6,68.3,12.4,12.2,12.7,13.8,13.5,14.1,8.2,8.0,8.4,16.9,16.6,17.2," 69,240 "," 59,071 ",1.0,0.9,,
E12000007,London,1.6,1.5,1.6,1.7,1.6,1.8,76.3,76.0,76.5,61.1,60.8,61.5,12.0,11.8,12.2,14.6,14.3,14.8,10.1,10.0,10.3,22.6,22.3,22.9," 97,219 "," 81,177 ",0.9,0.9,,
E12000008,South East,0.8,0.7,0.8,1.4,1.3,1.4,78.9,78.7,79.2,68.6,68.2,68.9,12.4,12.2,12.6,13.6,13.4,13.9,7.9,7.7,8.0,16.4,16.2,16.7," 97,055 "," 83,340 ",1.0,0.9,,
E12000009,South West,0.6,0.5,0.6,1.1,1.0,1.2,77.1,76.7,77.4,68.4,68.0,68.9,13.7,13.4,14.0,14.0,13.7,14.3,8.6,8.4,8.8,16.4,16.1,16.8," 55,523 "," 47,895 ",0.9,0.9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG,England,1.0,0.9,1.0,1.4,1.4,1.5,77.2,77.0,77.3,65.3,65.2,65.5,12.8,12.7,12.9,14.2,14.1,14.3,9.1,9.0,9.2,19.1,19.0,19.2,"610,636","531,223",1.0,0.9,,
